團體名稱,團體類型,成立日期,理事長,社團狀態,會址電話,核准立案字號,會址
中華民國專業攝影家協會,社會團體,078/12/17,吳天林,解散,02-2394-0051,763257,臺北市羅斯福路二段九號一樓
中華啟文堂劉氏宗親會,社會團體,104/06/19,劉啟群(會長),已立案,02-86676700,1040049413,231新北市新店區中正路四維巷8弄1號5樓
中華宗元協會,社會團體,099/03/07,汪蔡阿秀,已立案,02-23678877,0990082968,100臺北市中正區和平西路一段56號B1
中華民國照顧服務員福利協會,社會團體,103/04/19,石佳靈,已立案,0913018698,1030315245,235新北市中和區華新街149號2樓
中華民國社區體育運動協會,社會團體,088/08/09,陳基曜,已立案,03-5632669,8890713,303新竹縣湖口鄉5信勢村10鄰信全街27巷19號
台灣單車休閒產業發展協會,社會團體,098/09/05,林悉弘,已立案,08-7663988,0980187342,屏東市康定街11號
中華藝文學會,社會團體,091/05/02,邱衍明,已立案,0227131709,0910023988,105臺北市松山區105民族東路728號3樓
台灣原鄉關懷協會,社會團體,097/03/01,林惠馨,已立案,0937427150,0970068724,221新北市汐止區大同路2段263號18樓-1
台灣海洋保育學會,社會團體,096/10/20,程一駿,已立案,02-24622192#1313,0960182478,202基隆市中正區20224北寧路2號
中華企業架構師學會,社會團體,102/01/06,韓孟麒,已立案,02-26585801#2500,1020078818,114臺北市內湖區環山路一段56號A301-2室
明明文化經貿暢流協會,社會團體,103/04/27,賴明明,已立案,02-27630810,1030170141,110臺北市信義區虎林街66巷24號8樓
中華民國領導人協會,社會團體,087/07/02,張超賢,已立案,04-3209999,8729712,臺中市中港路1段201號13樓之2
台灣省機車商業同業公會聯合會,職業團體,058/04/30,詹金生,已立案,04-22206552,,400臺中市中區三民路二段145號5樓之5
台灣印尼商業協會,社會團體,104/08/25,徐小波,已立案,02-27060386,1040072061,106臺北市大安區106敦化南路2段40號8樓
中華食品安全管制系統發展協會,社會團體,092/09/21,陳元科,已立案,04-22029016,0920044081,403臺中市西區403民權路246號3樓
臺灣冠軍茶王工藝師協會,社會團體,104/01/31,茆聰富,已立案,0921644135,1040016236,557南投縣竹山鎮557東鄉路8之62號
中華民國日本近畿大學校友會台灣總會,社會團體,091/08/03,賴惠美,已立案,02-25066377,0990100082,111臺北市士林區中正路104巷1弄2號3樓
基督教國際火炬先鋒事奉關懷協會,社會團體,104/12/27,忻底波拉,已立案,02-87325557、02-87321739,1050007720,臺北市和平東路3段207巷8號1樓
台灣攝護腺癌防治協會,社會團體,096/11/24,黃清祥,已立案,2799-5650,0960193776,114臺北市內湖區內湖路1段392號4樓
中華民國戶外遊憩學會,社會團體,077/02/02,李素馨,已立案,02-2363596,571533,106臺北市大安區106基隆路4段138號國立台灣大學園藝學系造園館
中華民國梅門一氣流行養生學會,社會團體,091/08/18,梁亞忠,已立案,02-23216677,10C9153229,220新北市板橋區東門街30-2號5樓(該會於106.1.13函報內政部異動備查)
台灣OM世界福音動員會,社會團體,100/12/10,吳榮家,已立案,02-29596120,1000254105,110臺北市信義區吳興街106巷16號
台灣世貿創造協會,社會團體,092/07/21,林佳民,已立案,02-2725-3555,0920037936,106臺北市大安區忠孝東路4段216巷11弄6號6樓
中華美容暨健髮教育學會,社會團體,093/02/15,趙昭明,已立案,03-4025448,0930063392,220新北市板橋區南門街27號
國土資源保育學會,社會團體,094/11/21,林耀東,已立案,04-22840373-3D04,0940045456,402臺中市南區忠明南路789號36樓
中華龍欽心髓佛學會,社會團體,104/02/28,廖敏媛,已立案,0963-295966,1040024321,111臺北市士林區忠誠路1段179號3樓
中華民國靈乩協會,社會團體,078/09/16,高天文,已立案,02-22152921,745887,231新北市新店區灣潭路28-1號(105.01.27同意備查)
國際評量應用發展協會,社會團體,100/09/17,張欣微,已立案,0915800035,1000239772,330桃園市桃園區藝文一街86-1號13樓
中華民國愛自造者學習協會,社會團體,105/03/05,蘇文鈺,已立案,06-2607593,,701臺南市東區崇善路205巷12號6樓
中華民國家安慈善功德會,社會團體,104/11/29,沈秀美,已立案,02-22773271,1040096368,242新北市新莊區永樂街102號
中華台大松柏協會,社會團體,101/04/13,林淑惠,已立案,02-27086177,1010192410,106臺北市大安區106信義路4段109號3樓
臺灣花燈國際發展協會,社會團體,097/03/23,李冠毅,已立案,02-27387559,0970076656,110臺北市信義區吳興街118巷16弄3號1樓
中華民國祭祀公業研究學會,社會團體,091/11/06,許瓏鏵,已立案,04-7229445,0910039364,510彰化縣員林市合作街107號
臺灣科技產業策進會,社會團體,096/03/30,陳亮碩,已立案,02-2546-8725,0960069156,106臺北市大安區敦化南路1段238巷4號4樓
中華兩岸創業推廣協會,社會團體,099/10/08,陳志弘,已立案,06-3135033,0990231914,710臺南市永康區中華路349號17樓之1
台灣新世紀博弈發展協會,社會團體,104/05/21,洪樹聰,已立案,02-25526372,1041404666,103臺北市大同區103長安西路306號6樓之1
兩岸殯葬交流協會,社會團體,103/12/06,張峻豪,已立案,07-2223733,1040009832,800高雄市新興區民生一路247號7樓之1
中華民國農業發展協會,社會團體,078/11/10,吳慶堂,已立案,06-235-2165,,701臺南市東區中華東路2段96巷28號
中華公共安全及消防安全研究發展協會,社會團體,092/09/05,陳碧玲,已立案,02-8923-7577,0920038025,234新北市永和區中正路455號10樓之37
中華民國街頭運動協會,社會團體,092/12/22,江碩平,解散,02-87566128,,114臺北市內湖區港墘路185號2樓之1
中華民國藏傳文殊顯密佛學會,社會團體,092/08/02,林麗芬,已立案,02-2305-4461,0920074890,臺北市青年路44號5樓之2
中華民國春暉社會服務協會,社會團體,103/02/08,邱綿福,已立案,,1030165177,220新北市板橋區景星里2鄰四川路1段87巷24-1號2樓
台灣透析技術學會,社會團體,097/12/21,王春葉,已立案,07-7317123-2544,0980005376,833高雄市鳥松區大華里球場路128之1號
台灣國際美容美髮學術技術交流協會,社會團體,104/03/07,鄭秀葉,已立案,037-863736,1040038214,358苗栗縣苑裡鎮358天下路97號
中華愛傳資訊媒體發展協會,社會團體,099/05/18,楊寧亞,已立案,02-29111217,0990117085,231新北市新店區北新路3段215號4樓
台灣理中道養生協會,社會團體,097/01/01,楊家毅,已立案,049-2209839,0970192212,540南投縣南投市東山里東山路3-7號
臺灣區手套工業同業公會,職業團體,058/07/26,陳鴻釗,已立案,02-23918396,329409,"100臺北市中正區10092 愛國東路22號12樓"
台灣陶瓷刻畫學會,社會團體,082/02/03,廖正安,已立案,04-25820717,0960012460,426臺中市新社區崑山里崑南街崑崙巷1號
台灣綠水畫會,社會團體,104/05/03,張瑞蓉,已立案,,1040039331,326桃園市楊梅區大平街82號2樓
中華民國更生少年關懷協會,社會團體,087/03/20,余明照,已立案,02-27693258,8786012,105臺北市民生東路五段36巷8弄7號
中華民國彩繪藝術協會,社會團體,089/07/17,吳聲鑫,已立案,02-2392-0113,8924670,臺北市金華街251號
中華民國廢輪胎回收處理推廣協會,社會團體,089/12/30,許東茂,已立案,02-2331-9860,,103臺北市大同區承德路2段94號2樓
臺灣校園安全管理與研究學會,社會團體,101/10/27,胡益進,已立案,02-27290453,1020171885,110臺北市信義區光復南路501號9樓之1
中華民國電腦學會,社會團體,055/06/19,趙涵捷,已立案,02-2781-1753,774198,105臺北市松山區八德路二段374號5樓之4
中華天界之舟心靈健康協會,社會團體,103/06/29,慈道中,已立案,03-8420801,1030207031,973花蓮縣吉安鄉慶豐十二街166巷13弄13號
中韓文化經濟協會,社會團體,042/02/18,焦威聯,已立案,02-25168166轉228,0980179912,104臺北市中山區朱崙街15號
中華讓娘佛學會,社會團體,095/03/25,蕭文斌,已立案,02-27945075,0950069303,114臺北市內湖區成功路3段6巷7號1樓
臺灣防水工程專業營造業同業公會,職業團體,097/11/10,盧鴻文,已立案,02-25062978,0970018302,104臺北市中山區南京東路3段9號8樓之2
台灣全癌症病友連線,社會團體,104/05/06,林葳媫,已立案,02-25578050轉207,1040053444,103臺北市大同區民權西路258號3樓之1
臺灣嘉義大學園藝學系系友會,社會團體,101/04/16,林秀凰,已立案,05-2717421,1010242257,嘉義市學府路300號
台灣交通事故諮詢服務協會,社會團體,096/08/26,黃聖曨,已立案,07-3982245,0960139961,807高雄市三民區陽明路169號6樓之7
中華民國綠野仙蹤服務協進會,社會團體,087/07/25,簡王圭容,已立案,02-2511-6670,,臺北市林森北路一四五巷二二號二樓
台灣區黏性膠帶工業同業公會,職業團體,065/01/12,宋名時,已立案,02-2725-2217,,110臺北市信義區110信義路五段5號4樓4B13室
臺灣法式藝術教育協會,社會團體,104/10/03,蔡素玲,已立案,04-22369469,1050002473,404臺中市北區永興街353號
台灣外籍配偶福利發展協會,社會團體,104/03/29,史雪燕,已立案,049-2739567,1040027377,551南投縣名間鄉中正村小崎巷39-13號
中華民國基督教拿撒勒人信德會,社會團體,092/09/27,蔡清雲,已立案,02-2303-3478,0920039352,臺北市中華路2段600號地下一層之1
中華華人福音普世差傳會,社會團體,090/09/29,李正一,已立案,02-28960896,9035138,330桃園市桃園區復興路110號15樓
中華金龍醫濟學甲功德會,社會團體,103/12/28,張裕政,已立案,0910940887,1040001485,326桃園市楊梅區環南路141巷11弄66號
台灣職能發展管理協會,社會團體,104/02/07,賴學鋒,已立案,06-6822199,1040014566,732臺南市白河區732關嶺里2鄰關子嶺31-15號
台灣工業技術研究院院友會,社會團體,091/12/28,許金榮,已立案,03-5918138,0920063389,310新竹縣竹東鎮310中興路4段195號51館423室
世界李氏宗親總會,社會團體,062/03/15,李文龍,已立案,02-25411156,,104臺北市中山區新生北路2段35號2樓
大中華自用航空器飛行安全推廣協會,社會團體,103/11/23,魏賓漢,已立案,02-27011233,1040011263,106臺北市大安區信義路4段6號15樓之8
台灣不只公益服務協會,社會團體,100/05/14,林家成,已立案,02-27072970,1000137992,106臺北市大安區樂利路101巷2號1樓
中國企業社會責任標準學會,社會團體,091/08/30,林昌輝,已立案,02-29782079,0910069867,241新北市三重區仁賢街3號3樓
中華民國婦女社會公益推展協會,社會團體,092/11/30,許瀞尹,已立案,03-4728139,0920047987,326桃園市楊梅區上湖里下四湖59之5號
中華民國社區資源交流協會,社會團體,083/11/22,張紅雅,已立案,02-2798-7352,8329523,114臺北市內湖區114內湖路1段323巷21弄22號
中華民國體內環保協會,社會團體,094/01/29,蔡榮盛,已立案,02-2556-0626,0940021207,臺北市長安西路342號7樓
中華民國安全防災專業技術人員協會,社會團體,104/12/26,謝宜璋,已立案,06-2991852,1050001593,708臺南市安平區怡平路140巷17弄6號2樓
中國青少年博愛關護協會,社會團體,084/03/31,鄭景隆,解散,02-2783-8897,,111臺北市士林區臺北市南港區昆陽街134巷10號4樓(來信:至善路3段85號3樓)
中華民國電信線發展協進會,社會團體,084/11/01,張德財,解散,02-2791-9105,,114臺北市內湖區成功路二段五一Ｏ巷八號
中華天道正義會,社會團體,088/01/01,陳金鐘,已立案,03-460-4133,8885177,320桃園市中壢區龍岡路三段六九二巷九三號一樓
中華民國和諧促進發展協會,社會團體,091/10/19,黃雅婉,已立案,04-25362878,0910036138,427臺中市潭子區427潭興路2段397號
臺灣省消防工程器材商業同業公會聯合會,職業團體,097/10/22,黃淑玲,已立案,08-7323133,0970018352,屏東市博愛路145號
中華數位行銷智能協會,社會團體,104/06/30,范明玉,已立案,02-77208958,1040079425,114臺北市內湖區104洲子街58號2樓A1
中華專業講師協會,社會團體,103/08/16,陳寶玉,已立案,0422519066,1030305465,408臺中市南屯區公益路二段615-3號7樓之2
中華民國金山高級中學校友會,社會團體,104/12/27,蔡建松,已立案,02-24982028#500,1050002053,208新北市金山區文化二路2號
中華弱勢族群整體美容協會,社會團體,099/01/08,陳品蒨,已立案,02-28358911,0990014735,111臺北市士林區文林路764號3樓
中華民國先進互動數位娛樂協會,社會團體,099/08/26,黃俊堯,解散,0932495916,0990186208,237新北市三峽區國光街37巷12號1樓
中華民國影音文化促進發展協會,社會團體,093/09/25,白春正,已立案,02-2325-8677,0930038605,241新北市三重區重新路5段609巷10號8樓之1
中華民國法鼓學校校友會,社會團體,104/12/19,賴建榮(釋地印),已立案,2498-0707轉5132,1050005776,238新北市樹林區中山路1段184號3樓
台灣家族系統排列協會,社會團體,101/01/15,杜玉真,已立案,037-651188轉8031,1010106717,112臺北市北投區112自強街5巷102號5樓
美國史丹福大學在臺校友會,社會團體,098/09/26,許永真,已立案,0800668126,0980205415,新竹市科學園區竹村一路41號
中華智慧生活創新聯盟協會,社會團體,104/11/26,董煥新,已立案,02-25991258,1040091938,104臺北市中山區撫順街35號3樓
中華推拿技術協會,社會團體,083/08/14,鄭武剛,已立案,02-2595-6412,8386616,103臺北市大同區103民族西路84號4樓
中華民國運動彩券經銷商商業同業公會,職業團體,103/11/24,吳旻陵,已立案,04-23808181,,臺中市黎明路1段1047號1樓
台灣兩岸教科文交流發展促進會,社會團體,093/12/08,劉鈞,已立案,02-27397445,0940064151,231新北市新店區溪園路381號12樓
中華無極慈玄堂發展協會,社會團體,103/07/18,韓宜蓁,已立案,02-26823069,1030314425,238新北市樹林區238俊英街248巷23號
中華民國房地產知識教育協會,社會團體,103/02/13,謝宗諺,已立案,06-7957887,1030113962,723臺南市西港區中山路434號1樓
中華寧瑪巴不變大樂佛學會,社會團體,090/12/29,李登瑞,已立案,04-2378-1730,0910010750,403臺中市西區林森路100號12樓之6
臺灣絡病學會,社會團體,103/07/13,黃淑珍,已立案,02-29605242,1040015986,221新北市汐止區福德一路177巷28號4樓
萬國道德總會,社會團體,010/09/28,林孝悌,已立案,02-2761-8376,,105臺北市松山區健康路264號
中華全球華人藝文創作協會,社會團體,094/05/02,鄭羽書,已立案,0921107082,0940070067,104臺北市中山區農安街32號7樓之1(該會於104.7.27函報內政部異動備查)
中華兩岸經貿文教交流發展促進會,社會團體,098/07/18,蔡宜臻,已立案,02-27236850,0980140610,110臺北市信義區吳興街600巷118號7樓
中華民國人體氣電科學研究協會,社會團體,094/11/12,李海龍,已立案,03-2807493,0940043308,320桃園市中壢區中山路41號6樓之5
中華弱勢者就業培訓協會,社會團體,091/07/04,連文安,已立案,03-332-0075,0910066625,330桃園市桃園區復興路98號7樓
台灣聲呼吸音樂發展協會,社會團體,103/04/14,陳致穎,已立案,02-27111360,1030316184,106臺北市大安區光復南路346巷52號1樓
中華民國黃埔五十一期交流協進會,社會團體,094/04/24,秦華興,已立案,04-24831952,0940071228,412臺中市大里區現岱路167巷15弄9號
中華國際財經創意交流協會,社會團體,103/06/28,謝明瑞,已立案,02-23433527,1031400222,111臺北市士林區福華路128巷3弄25號
中華民國大千文化藝術學會,社會團體,101/11/18,許秀連,已立案,02-22216190,1020075909,235新北市中和區235中正路637巷44弄9號
台灣埔愛關懷動物協會,社會團體,103/08/15,李虹真,已立案,049-2995578,1040024149,545南投縣埔里鎮枇杷里樹人三街139號
中華藏喜緣協會,社會團體,101/02/18,孫尚民,已立案,02-22338685,1010186672,235新北市中和區中正路918號2樓
中華民國產業成長進修推廣協會,社會團體,103/05/06,黃寶萱,已立案,04-22753522,1030214066,411臺中市太平區永成北路445號
臺灣地面高爾夫球協會,社會團體,097/01/27,吳清同,已立案,0935964081,0970025352,228新北市貢寮區仁和路106巷16號2樓
中華民國光之雨身心靈關懷慈善協會,社會團體,103/04/27,許瑞芳,已立案,06-7234918,1030192396,722臺南市佳里區佳安西路7巷1號
中華財經金融研究發展協會,社會團體,097/08/31,蔡志成,已立案,02-8789-1345轉101,0970165446,"臺北市信義路5段150巷10號B2 2A2B室"
中華新文藝交流協會,社會團體,089/10/22,劉敏慎,已立案,02-2755-6967,8974087,臺北市敦化南路1段376號7樓之2
台灣瑜伽協會,社會團體,096/05/06,黃玉燕,已立案,02-25958504,0960083025,116臺北市文山區羅斯福路6段246號4樓
台灣省園藝花卉商業同業公會聯合會,職業團體,084/04/30,賴伸州,已立案,04-8830432,,524彰化縣溪州鄉524苗專二路251號
中華妙行佛子會,社會團體,095/12/31,康素女,已立案,02-27595996、02-27595997,0960023801,224新北市瑞芳區明燈路3段40號地下樓
中華民國直效行銷協會,社會團體,083/03/09,曾明楠,解散,02-2346-9999#86,台(83)內社字第8377322號,110臺北市信義區松德路一七一號十一樓
中華民國情趣禮品協會,社會團體,084/01/16,高大陸,解散,02-2586-2166,,臺北市民族西路二二三之八號
中華民國福壽會,社會團體,080/09/15,賴坤鍾,已立案,02-29433565,,235新北市中和區華新街149號
中華民國慈音功德會,社會團體,099/06/27,陳秀琴,已立案,02-22032363,0990196527,242新北市新莊區新莊路477巷12號1樓
中華十方功德會,社會團體,089/09/23,王陸桐,已立案,02-2746-8116,,100臺北市中正區紹興北街35號5樓之5
中華民國造形藝術教育學會,社會團體,068/11/18,顏水龍,解散,02-2536-8566,52152,臺北市長春路116號
台灣會議展覽發展學會,社會團體,097/03/28,古宜靈,已立案,06-2551911,0970067766,708臺南市安平區永華三街333號12樓之1
台灣地藏王信眾功德會,社會團體,091/06/09,陳陸勇,已立案,037-630037,0910020604,苗栗縣頭份市永貞路1段285號1樓
原住民族記錄文化促進會,社會團體,088/07/17,許介鱗,解散,02-2363-3901,,臺北市羅斯福路四段五六號六樓之一
中華民國幼兒權益促進協會,社會團體,099/02/26,劉阿珠,已立案,02-27355429,0990062099,106臺北市大安區基隆路二段232號6樓
中華民國華人社群聯網協會,社會團體,090/10/11,鄭石春,解散,03-551-9991,,302新竹縣竹北市新泰路三一號七樓之三
中華民國基督教羅以全人關懷協會,社會團體,096/06/10,王宏奕,已立案,03-3202215,0960133464,333桃園市龜山區萬壽路2段412號5樓
中華餐旅文化交流協會,社會團體,104/05/07,陳麒文,已立案,0919034040,1040040560,247新北市蘆洲區永安南路2段318號1樓
全通智慧系統策進會,社會團體,103/08/09,羅彥棻,已立案,0910070770,1030236337,105臺北市松山區10552敦化北路50巷23號1樓
中華身心靈能量協會,社會團體,092/12/26,李連將,已立案,03-355-6666,0930002524,330桃園市桃園區新埔6街148號14樓之2
台灣神經母細胞瘤病友關懷協會,社會團體,101/06/30,曾錦暉,已立案,0968-663105,1010269185,221新北市汐止區221福山街62巷7號4樓
台灣活力運動協會,社會團體,104/09/26,王騰慶,已立案,02-2805-3659,1040072966,108臺北市萬華區西藏路125巷3號2樓之3
中華民國台灣環球搜救協會,社會團體,089/04/25,杜祖德,已立案,06-256-1000,0930044985,700臺南市中西區大埔街52號
台灣香草手工皂藝術發展協會,社會團體,100/12/03,張素幸,已立案,04-25201260,1010062284,420臺中市豐原區三豐路2段20巷237號
台灣多重障礙兒童暨家長關懷協會,社會團體,099/12/12,吳芳菲,已立案,02-22836033,0990263000,247新北市蘆洲區247正和街72巷12號1樓
中華民國英語認證檢定推廣協會,社會團體,101/12/14,黃筠惠,已立案,0922-566946,1020192207,830高雄市鳳山區新昌街74-1號3樓
中華民國文化台灣發展協會,社會團體,089/11/25,陳毓棻,已立案,02-2781-3526,9068020,106臺北市大安區光復南路二六八號九樓之一
台灣音像教育行動協會,社會團體,104/03/22,李秀美,已立案,0939147497,1040026903,970花蓮縣花蓮市長安街26號6樓之5
中華民國社會工作師公會全國聯合會,職業團體,091/10/19,陳宇嘉,已立案,06-6567005,,404臺中市北區賴厝街56號3樓
中華會計資訊學會,社會團體,093/01/10,謝宗興,已立案,02-2538-1111轉90,10A9241102,臺北市大直街70號L棟609室
台灣彩墨工筆畫會,社會團體,093/02/08,王雙寬,已立案,04-2316-0009,10A9308306,407臺中市西屯區大弘三街52號
中華民國禪理研究會,社會團體,078/09/28,黃同家,已立案,04-2522-8965,751735,420臺中市豐原區北陽路515號
中華流行藝術發展協會,社會團體,094/09/05,李言鐸,已立案,02-27000090,0940079236,106臺北市大安區仁愛路4段376號12樓
中華覺知教育關懷協會,社會團體,104/02/07,李守蕾,已立案,07-7997907,1040018324,830高雄市鳳山區曹公路15號4樓
中華海峽兩岸教育聯合會,社會團體,103/08/15,伍必中,已立案,0229660280,1030300561,220新北市板橋區僑中一街1號(104.07.03報本部核備)
台灣省武德武尚德慈善會,社會團體,084/06/02,張偉庭,已立案,04-22521950,,407臺中市西屯區龍洋巷46之7號
中華民國宋友總會,社會團體,089/12/17,葉松年,已立案,02-66380008,9007239,106臺北市大安區忠孝東路3段284號3樓
臺灣區施工塔架吊裝及模版工程專業營造業同業公會,職業團體,104/08/03,簡玉城,已立案,0225231522,1040059614,104臺北市中山區林森北路472號地下一樓
台灣人機互動學會,社會團體,105/03/12,洪一平,已立案,,,106臺北市大安區羅斯福路4段1號國立臺灣大學資訊工程德田館306室
綠色21台灣聯盟,社會團體,101/02/12,王瓊枝,已立案,04-24752485,1010114175,408臺中市南屯區大墩五街18號(該會於105.7.18函報內政部異動備查)
中國自治行政發展協會,社會團體,083/05/08,陳志豪,已立案,04-2222-3163,8312131,臺中市復興路三段三六三號九樓二室
台灣生態學會,社會團體,092/10/04,楊國禎,已立案,04-26328001#17054,0920068616,434臺中市龍井區遠東街48之1號3樓
中華民國生命飛揚關懷協會,社會團體,101/03/10,黃彥穎,解散,03-4963332,1010182856,326桃園市楊梅區青山二街327巷4號
中華國際形象暨AICI推廣協會,社會團體,105/03/12,蘇竹玲,已立案,02-25065150,1050027774,251新北市淡水區清水街132號
中華聯馨慈善會,社會團體,100/12/18,高翊凱,已立案,06-2042958,1000253576,710臺南市永康區自強路22巷2號之1
中華民國金剛乘甯瑪巴敦珠佛學會,社會團體,093/05/16,徐文哲,已立案,04-23126376,0930027468,407臺中市西屯區何源里成都路185號
中華民國義務役傷殘官兵協會,社會團體,086/01/12,楊昭雄,已立案,049-2761596,8604744,432臺中市大肚區沙田路1段428巷7弄5號
寰宇健康環保促進會,社會團體,104/01/18,李建心,已立案,02-77097135,1040035973,105臺北市松山區民生東路三段113巷27號6樓之1
台灣公共創意服務協會,社會團體,100/07/02,郭景文,已立案,04-22447731,1010149667,406臺中市北屯區松竹路2段160巷9弄10號
中華行動科技創新應用協會,社會團體,103/03/29,黃鋕銘,已立案,02-23650955,1030152487,100臺北市中正區和平西路1段56號10樓之4
台灣抗老化保健學會,社會團體,095/03/26,詹吟菁,已立案,02-27383464,0950066389,110臺北市信義區110吳興街250號教研大樓6樓臺北醫學大學保健營養學系
中華民國多元體操協會,社會團體,104/02/01,劉安鈞,已立案,08-738-2828,1040013516,900屏東縣屏東市興豐路137巷18號
台灣偵探協會,社會團體,103/10/05,陳世輝,已立案,02-28380364,1030323221,241新北市三重區重新路3段128號5樓
台灣能源科技策進會,社會團體,094/11/28,鄭余鎮,已立案,02-3322-2768,0940046388,100臺北市中正區鎮江街5號6樓
台灣嘉南藥理大學食品科技系系友會,社會團體,098/05/02,許秋毅,已立案,0910542056,0990010560,710臺南市永康區忠義街44巷11號
